res1           Y1_gamma1      LogPost        
   0.998833E+02   0.602127E+00  -0.594969E+02
   0.996528E+02   0.215738E+00  -0.586563E+02
   0.100003E+03   0.716949E+00  -0.603564E+02
   0.996030E+02   0.637291E+00  -0.599439E+02
   0.998621E+02   0.705265E-01  -0.582678E+02
   0.997797E+02   0.327737E+00  -0.585568E+02
   0.995503E+02   0.722169E-01  -0.591071E+02
   0.100085E+03   0.140920E+00  -0.592725E+02
   0.996488E+02   0.195103E+00  -0.586498E+02
   0.100016E+03   0.394355E+00  -0.592149E+02
   0.995348E+02   0.198305E-01  -0.592073E+02
   0.993344E+02   0.120997E+00  -0.611838E+02
   0.100005E+03   0.260999E+00  -0.589079E+02
   0.100119E+03   0.441940E+00  -0.599332E+02
   0.994018E+02   0.189598E+00  -0.604204E+02
   0.995972E+02   0.392491E+00  -0.591913E+02
   0.999839E+02   0.117690E+00  -0.586599E+02
   0.997708E+02   0.439345E+00  -0.588454E+02
   0.997708E+02   0.299624E+00  -0.585071E+02
   0.100068E+03   0.643696E-01  -0.591153E+02
   0.995092E+02   0.251944E+00  -0.595057E+02
   0.100004E+03   0.244012E+00  -0.588807E+02
   0.100128E+03   0.406578E+00  -0.599207E+02
   0.996556E+02   0.278907E+00  -0.587318E+02
   0.996445E+02   0.383013E+00  -0.589719E+02
   0.996416E+02   0.648057E-01  -0.585936E+02
   0.999500E+02   0.170586E+00  -0.585621E+02
   0.998282E+02   0.170081E+00  -0.583071E+02
   0.997034E+02   0.322710E-01  -0.583633E+02
   0.994284E+02   0.101865E+01  -0.627403E+02
   0.998005E+02   0.505669E+00  -0.590497E+02
   0.998018E+02   0.113882E-01  -0.582156E+02
   0.994583E+02   0.284564E-01  -0.598398E+02
   0.100119E+03   0.753255E-01  -0.595083E+02
   0.999957E+02   0.311419E-02  -0.586805E+02
   0.994711E+02   0.786057E-01  -0.597288E+02
   0.995192E+02   0.197300E+00  -0.593875E+02
   0.100138E+03   0.743798E+00  -0.611325E+02
   0.100004E+03   0.179315E+00  -0.588035E+02
   0.996050E+02   0.289089E+00  -0.589641E+02
   0.998271E+02   0.460144E-01  -0.582257E+02
   0.995655E+02   0.192168E+00  -0.590714E+02
   0.100264E+03   0.256538E+00  -0.610029E+02
   0.100190E+03   0.480690E-01  -0.601501E+02
   0.995962E+02   0.394542E+00  -0.592007E+02
   0.995230E+02   0.111796E+01  -0.630362E+02
   0.996769E+02   0.689766E+00  -0.599670E+02
   0.999482E+02   0.211976E+00  -0.586012E+02
   0.100037E+03   0.107769E+01  -0.627252E+02
   0.999187E+02   0.205519E+00  -0.584993E+02
   0.996100E+02   0.732578E+00  -0.603582E+02
   0.999169E+02   0.233944E+00  -0.585319E+02
   0.999923E+02   0.168997E+00  -0.587384E+02
   0.998640E+02   0.411601E+00  -0.587939E+02
   0.998377E+02   0.993825E-01  -0.582556E+02
   0.998377E+02   0.393408E+00  -0.587171E+02
   0.998326E+02   0.641851E+00  -0.596176E+02
   0.997279E+02   0.297655E+00  -0.585623E+02
   0.997279E+02   0.415925E+00  -0.588307E+02
   0.996805E+02   0.831447E+00  -0.607247E+02
   0.999127E+02   0.151363E+00  -0.584256E+02
   0.999929E+02   0.280325E-01  -0.586686E+02
   0.999929E+02   0.536119E-01  -0.586740E+02
   0.998866E+02   0.204173E+00  -0.584202E+02
   0.999471E+02   0.509779E+00  -0.592844E+02
   0.997726E+02   0.649843E+00  -0.596496E+02
   0.997123E+02   0.349071E+00  -0.586974E+02
   0.993476E+02   0.323032E+00  -0.610373E+02
   0.999807E+02   0.574693E+00  -0.596366E+02
   0.100061E+03   0.997917E-01  -0.590815E+02
   0.994654E+02   0.491246E+00  -0.602016E+02
   0.100105E+03   0.130613E+00  -0.594137E+02
   0.100008E+03   0.371750E+00  -0.591264E+02
   0.998928E+02   0.285255E+00  -0.585558E+02
   0.997445E+02   0.880575E-01  -0.582910E+02
   0.998437E+02   0.373045E+00  -0.586701E+02
   0.995381E+02   0.180355E+00  -0.592416E+02
   0.999681E+02   0.898626E-01  -0.585751E+02
   0.998150E+02   0.122969E+00  -0.582605E+02
   0.999465E+02   0.175487E+00  -0.585544E+02
   0.998790E+02   0.150046E+00  -0.583476E+02
   0.997572E+02   0.249469E+00  -0.584352E+02
   0.100303E+03   0.129848E+00  -0.614502E+02
   0.999969E+02   0.393616E+00  -0.591255E+02
   0.999324E+02   0.229359E+00  -0.585710E+02
   0.995925E+02   0.203671E+00  -0.589249E+02
   0.999160E+02   0.692274E+00  -0.599792E+02
   0.995351E+02   0.891582E+00  -0.614950E+02
   0.998362E+02   0.237387E+00  -0.583969E+02
   0.997277E+02   0.289538E+00  -0.585481E+02
   0.997675E+02   0.466042E+00  -0.589298E+02
   0.100001E+03   0.313616E+00  -0.589727E+02
   0.999697E+02   0.109571E+00  -0.585926E+02
   0.998789E+02   0.154993E+00  -0.583521E+02
   0.100043E+03   0.306821E+00  -0.591817E+02
   0.996474E+02   0.464749E-01  -0.585635E+02
   0.100140E+03   0.568042E+00  -0.604343E+02
   0.100135E+03   0.312663E-01  -0.596357E+02
   0.999357E+02   0.491682E+00  -0.591894E+02
   0.996903E+02   0.877935E-01  -0.584200E+02
   0.100113E+03   0.693309E-01  -0.594541E+02
   0.996185E+02   0.138539E+00  -0.587373E+02
   0.999024E+02   0.428086E+00  -0.589081E+02
   0.996124E+02   0.488309E-01  -0.587290E+02
   0.994204E+02   0.152886E+00  -0.602228E+02
   0.999069E+02   0.356164E+00  -0.587325E+02
   0.100005E+03   0.178805E+00  -0.588101E+02
   0.994356E+02   0.510725E+00  -0.604661E+02
   0.998093E+02   0.141521E+00  -0.582747E+02
   0.999990E+02   0.323457E+00  -0.589832E+02
   0.994156E+02   0.406009E+00  -0.604404E+02
   0.993944E+02   0.347530E+00  -0.605718E+02
   0.100140E+03   0.418117E+00  -0.600319E+02
   0.996260E+02   0.432100E-01  -0.586597E+02
   0.999426E+02   0.189653E+00  -0.585557E+02
   0.100133E+03   0.222317E+00  -0.596945E+02
   0.995566E+02   0.147807E+00  -0.590969E+02
   0.999114E+02   0.546169E-01  -0.583642E+02
   0.996293E+02   0.208450E-01  -0.586404E+02
   0.999247E+02   0.217196E+00  -0.585313E+02
   0.996236E+02   0.192837E+00  -0.587571E+02
   0.996070E+02   0.249759E+00  -0.589001E+02
   0.997176E+02   0.120143E+00  -0.583645E+02
   0.997176E+02   0.698225E-01  -0.583375E+02
   0.998758E+02   0.557989E-01  -0.582843E+02
   0.995756E+02   0.922141E-01  -0.589503E+02
   0.996711E+02   0.613329E+00  -0.596342E+02
   0.996817E+02   0.767017E+00  -0.603556E+02
   0.998405E+02   0.328398E+00  -0.585645E+02
   0.100089E+03   0.900969E-01  -0.592770E+02
   0.999218E+02   0.301236E+00  -0.586560E+02
   0.997880E+02   0.514529E+00  -0.590832E+02
   0.100022E+03   0.159327E+00  -0.588830E+02
   0.998923E+02   0.434616E-01  -0.583137E+02
   0.999195E+02   0.431001E+00  -0.589571E+02
   0.995681E+02   0.549295E+00  -0.597592E+02
   0.995681E+02   0.442544E+00  -0.594515E+02
   0.998165E+02   0.289469E-01  -0.582180E+02
   0.996253E+02   0.129449E+00  -0.586987E+02
   0.998284E+02   0.472664E+00  -0.589447E+02
   0.997803E+02   0.227033E+00  -0.583803E+02
   0.998678E+02   0.454055E+00  -0.589237E+02
   0.999444E+02   0.136645E-01  -0.584611E+02
   0.997853E+02   0.171811E-01  -0.582225E+02
   0.996613E+02   0.324690E+00  -0.587904E+02
   0.996667E+02   0.128186E+00  -0.585235E+02
