"res1"	"Y1_gamma1"	"LogPost"
100.263	0.369198	-46.218
99.8179	0.598876	-46.1343
99.8477	0.400729	-45.2346
100.104	0.0899398	-44.8223
99.6965	0.176754	-45.4004
99.7649	0.176754	-44.9974
99.9307	0.344395	-44.9425
99.6261	0.571943	-46.8409
100.194	0.57383	-46.4539
99.851	0.365488	-45.1123
100.188	0.626218	-46.6653
100.232	0.121912	-45.6691
100.057	0.542263	-45.8262
99.6892	0.52643	-46.302
100.017	0.38428	-45.1271
99.8853	0.381468	-45.1005
100.004	0.641978	-46.2394
100.004	0.24047	-44.7196
99.8556	0.0667387	-44.5454
