"res1"	"res2"	"tau1"	"Y1_gamma1"	"LogPost"
113.936	103.697	9.02396	0.0185966	-67.2108
113.62	103.465	8.9679	0.547435	-66.8302
113.474	103.419	9.01038	0.789246	-67.8293
114.095	103.356	8.99289	0.061452	-66.9254
113.613	103.37	9.03544	0.118414	-66.5547
113.266	103.37	9.01126	0.0834985	-69.3594
113.734	103.52	8.99906	0.460292	-66.5323
113.974	103.641	8.99522	0.240791	-66.9325
114.017	104.096	8.99522	0.793718	-69.1475
114.04	103.174	9.04269	0.148835	-66.8708
113.892	103.791	9.04269	0.247069	-67.4257
113.891	103.267	8.98663	0.60678	-66.7985
113.93	103.559	9.02211	0.399806	-66.6232
113.843	103.352	9.02211	0.83623	-67.3593
113.767	102.994	9.02211	0.457729	-67.1676
113.621	104.245	8.97558	0.286365	-71.3235
113.991	102.733	8.96855	0.578583	-68.7355
113.946	103.525	9.02051	0.493181	-66.7108
113.939	103.375	9.03195	0.295826	-66.3642
113.939	103.702	8.98455	0.894272	-67.9541
113.914	103.013	9.00771	0.262587	-67.0778
113.7	103.295	9.00771	0.354783	-66.4026
113.541	103.013	8.98893	0.354783	-67.6493
114.229	103.164	9.00282	0.17404	-68.1514
113.496	103.411	9.02669	0.247197	-67.159
113.6	103.568	8.97087	0.476157	-66.9227
113.716	103.005	8.97087	0.404887	-67.1413
113.716	103.904	8.98179	0.431246	-67.8381
113.777	103.657	9.0295	0.407801	-66.7428
113.777	103.611	9.00745	0.0847398	-66.6505
113.42	103.647	9.00745	0.589369	-67.9732
113.702	103.255	9.00745	0.128804	-66.3179
114.105	103.616	9.02556	0.128804	-67.5058
114.048	104.024	9.01223	0.590272	-68.7979
113.639	103.6	9.02535	0.689431	-67.226
113.893	103.022	8.97857	0.808264	-67.7413
113.787	103.147	8.97742	0.145413	-66.4292
113.595	103.108	8.97755	0.145413	-67.0546
113.795	102.707	8.98109	0.368105	-68.7971
113.775	102.707	9.00303	0.0510488	-69.2039
113.775	103.229	9.0007	0.68426	-66.9754
113.775	102.92	8.97361	0.0898047	-67.4885
113.618	103.633	9.02375	0.942397	-68.1095
113.618	103.162	8.97694	0.921109	-67.9989
114.095	102.66	8.99879	0.0164756	-70.4977
113.953	103.328	9.008	0.430574	-66.557
113.608	103.217	9.008	0.824136	-67.6176
113.912	103.16	9.008	0.242738	-66.5353
114.111	103.079	8.97488	0.314422	-67.5884
113.784	103.502	9.02197	0.365438	-66.3669
114.045	102.846	8.96877	0.542417	-68.3104
114.201	104.081	8.96877	0.636172	-69.7732
113.453	103.371	8.96877	0.409668	-67.3857
113.298	103.741	8.98662	1.00684	-69.6202
113.646	103.177	9.0293	0.44351	-66.797
114.119	103.475	8.99528	0.511371	-67.3003
113.604	103.274	9.0144	0.845117	-67.6435
113.563	103.904	8.98328	0.506312	-68.1949
113.96	103.246	8.98859	0.572265	-66.8754
113.616	103.539	9.01809	0.16188	-66.7796
113.811	103.626	9.02188	0.573313	-66.853
113.566	103.648	9.02165	0.706334	-67.5351
113.943	103.09	9.00973	0.529954	-67.0739
113.875	103.266	8.96238	0.313033	-66.3288
114.739	103.661	8.96238	1.23022	-72.6838
113.864	103.136	8.98716	0.306356	-66.5767
113.864	103.116	9.00151	0.0184493	-66.5157
